Name,Rating,Episodes,Genre,StartDate,EndDate,Studio,Synopsis,SourceMaterial,AgeRating
Blade of the Void,8.2,39,Action/Fantasy,7/23/2021,4/22/2022,Void Blade Studio,A warrior wields a blade imbued with the power of the void.,Original,PG-13
The Nightmare Chronicles: Unleashed,7.9,13,Supernatural/Horror,1/23/2022,4/17/2022,Unleashed Dread,"The nightmares are fully unleashed, causing widespread terror and chaos.",Original,R
Gymnastics Glory: Olympics,7.3,24,Sports/Drama,4/22/2020,10/7/2020,Olympic Balance,Young gymnasts compete in the Olympics for glory.,Manga,G
Crimson Bloodline: The Legacy,8.4,24,Action/Supernatural,10/29/2022,4/15/2023,Bloodline Legacy Studio,The legacy of the crimson bloodline continues with a new generation.,Original,R
The Magical Bookstore: New Stories,7.1,12,Slice of Life/Fantasy,4/22/2023,Ongoing,New Stories Books,The magical bookstore welcomes new stories and adventures.,Original,PG
Virtual Reality World: Evolution,7.5,50,Adventure/Game,1/28/2021,1/13/2022,Evolution VR Studios,"The virtual reality world evolves, presenting new challenges and opportunities.",Original,PG-13
Memories of the Past Life: Revelation,8.8,26,Drama/Supernatural,10/25/2019,4/17/2020,Revelation Echoes,"The full truth about the past lives is revealed, changing everything.",Original,PG
Starbound Guardians: The Nexus,8,24,Sci-Fi/Action,1/30/2022,7/17/2022,Nexus Guard,"The Starbound Guardians discover a cosmic nexus, a gateway to other dimensions.",Original,PG-13
The Cupcake Chronicles: Sweet Success,7.4,12,Comedy/Food,1/27/2023,Ongoing,Sweet Success Cupcakes,"The cupcake shop achieves sweet success, expanding its business.",Original,G
Temporal Agents: The Paradox,7.6,13,Sci-Fi/Mystery,7/29/2021,10/21/2021,Paradox Agency,"The temporal agents face their biggest paradox yet, threatening the timeline.",Original,PG-13
Beast Master's Quest: The Final Battle,8.5,36,Fantasy/Adventure,7/24/2020,4/16/2021,Final Battle Beasts,The beast master faces the final battle against a formidable enemy.,Manga,PG
Melody of the Cosmos: The Grand Finale,8.2,12,Romance/Music,4/29/2022,7/15/2022,Grand Finale Cosmos,"The grand finale of the cosmic melody, bringing all elements into perfect harmony.",Original,G
The Ancient Prophecies: The New Era,8.7,24,Mystery/Fantasy,4/26/2023,Ongoing,New Era Prophecy Studio,"A new era begins, shaped by the ancient prophecies and their fulfillment.",Original,PG-13
Steel Sentinels: The Future,7.9,26,Action/Mecha,10/28/2021,4/20/2022,Sentinel Future,"The Steel Sentinels look towards the future, facing new challenges and evolving threats.",Original,PG-13
Magical Pet Cafe: New Friends,7,12,Slice of Life/Comedy,7/25/2023,Ongoing,New Friends Cafe,The magical pet cafe welcomes new magical pets and their owners.,Original,G
The Lost City of Gold: The Secret,8.6,50,Fantasy/Adventure,2/7/2019,1/2/2020,Secret Gold Films,Explorers uncover the ultimate secret of the lost city of gold.,Original,PG
Shadows of the Forgotten: The Reckoning,8.1,13,Horror/Drama,10/26/2022,1/18/2023,Reckoning Shadows,"The final reckoning with the shadows of the forgotten, bringing closure or doom.",Original,R
Archery Aces: National Championship,7.5,39,Sports/Drama,1/29/2021,10/22/2021,National Archery,The high school archery team competes in the national championship.,Manga,G
The Dream Weaver's Legacy: The Heir,8.3,12,Slice of Life/Supernatural,1/31/2023,Ongoing,Heir Dreams Studio,"The heir to the dream weaver's legacy begins their journey, discovering their powers.",Original,PG
Dragon's Reign: The Final Battle,9,75,Action/Drama,7/25/2018,4/8/2020,Final Battle Dragon Studios,"The ultimate confrontation for the dragon's reign, determining the fate of the world.",Original,PG-13
Galactic Bounty Hunters: The Hunt,7.8,24,Sci-Fi/Action,4/27/2022,10/12/2022,Hunt Bounty Hunters,The galactic bounty hunters embark on a dangerous hunt for a notorious criminal.,Original,PG-13
The Waffle House: Sweet Creations,7.2,12,Comedy/Food,4/25/2023,Ongoing,Sweet Creations Waffles,The waffle house introduces new and creative waffle creations.,Original,G
Mysteries of the Haunted Museum: The Curse,8.4,26,Mystery/Horror,10/23/2020,4/16/2021,Curse Museum,The haunted museum reveals an ancient curse that affects its visitors.,Original,PG-13
Street Symphony: New Talents,7.7,12,Music/Drama,7/28/2022,10/13/2022,New Talents Rhythms,The street musicians discover and mentor new talents in the city.,Original,PG
The Ancient Code: The Solution,8.6,24,Mystery/Thriller,10/26/2023,Ongoing,Solution Code Studio,"The ancient code is finally solved, revealing the solution to a global crisis.",Original,PG-13
Mech Force Omega: Final Stand,8,48,Action/Mecha,4/23/2019,4/15/2020,Final Stand Mech,The Mech Force Omega makes its final stand against an overwhelming enemy.,Original,PG-13
The Culinary Quest: Global Flavors,7.6,25,Comedy/Food,1/29/2022,7/23/2022,Global Flavors Quest,The chef's culinary quest takes them to explore global flavors and cuisines.,Original,G
The Enchanted Forest: The Quest,7,12,Slice of Life/Fantasy,7/25/2023,Ongoing,Quest Forest Studio,A group embarks on a quest within the enchanted forest to find a legendary artifact.,Original,G
Cosmic Odyssey: The Discovery,8.9,100,Sci-Fi/Space Opera,4/28/2017,4/19/2019,Discovery Spacefarers,The cosmic odyssey leads to a groundbreaking discovery that changes humanity's understanding.,Original,PG
Blade of the Void: The Abyss,8.2,39,Action/Fantasy,7/25/2021,4/24/2022,Abyss Blade Studio,"The warrior delves deeper into the abyss, facing stronger void creatures.",Original,PG-13
The Nightmare Chronicles: The End,7.9,13,Supernatural/Horror,1/25/2022,4/19/2022,End of Dread,"The nightmare chronicles reach their terrifying conclusion, ending the reign of terror. ",Original,R
Swimming Stars: Nationals,7.3,24,Sports/Drama,4/24/2020,10/9/2020,National Swim,Young swimmers compete in the national championship.,Manga,G
Crimson Bloodline: The Reckoning,8.4,24,Action/Supernatural,10/31/2022,4/17/2023,Reckoning Bloodline Studio,"The final reckoning for the crimson bloodline, deciding its fate.",Original,R
The Magical Art Studio: Masterpieces,7.1,12,Slice of Life/Fantasy,4/24/2023,Ongoing,Masterpiece Canvas Studio,The magical art studio creates new masterpieces with enchanting properties.,Original,PG
Virtual Reality World: New Frontiers,7.5,50,Adventure/Game,1/30/2021,1/15/2022,New Frontiers VR Studios,Players explore new frontiers within the expanding virtual reality world.,Original,PG-13
Memories of the Past Life: The Truth,8.8,26,Drama/Supernatural,10/27/2019,4/19/2020,Truth Echoes,"The ultimate truth about the past lives is revealed, with profound implications.",Original,PG
Starbound Guardians: The Final Battle,8,24,Sci-Fi/Action,2/1/2022,7/19/2022,Final Battle Guard,The Starbound Guardians face their final battle against a universe-threatening enemy.,Original,PG-13
The Coffee Bean Cafe: New Brews,7.4,12,Comedy/Food,1/29/2023,Ongoing,New Brews Cafe,The coffee bean cafe introduces new and exotic coffee brews.,Original,G
Temporal Rift Agency: The Resolution,7.6,13,Sci-Fi/Action,7/31/2021,10/23/2021,Resolution Agency,The temporal rift agency finds a way to resolve all temporal anomalies.,Original,PG-13
Beast Master's Quest: The Prophecy,8.5,36,Fantasy/Adventure,7/26/2020,4/18/2021,Prophecy Beasts,The beast master's quest is guided by an ancient prophecy.,Manga,PG
Melody of the Cosmos: The Legacy,8.2,12,Romance/Music,5/1/2022,7/17/2022,Cosmic Legacy Music,The legacy of the cosmic melody continues to inspire future generations.,Original,G
